pidp,wave,sex,age,partner,degree,inc4,owner,gor_dv
68068019,Wave 5,male,16,No partner,No degree,Lowest 25%,Not owner,North West
68068011,Wave 5,female,46,Partner,No degree,Highest 25%,Owner,North West
68068007,Wave 5,male,46,Partner,No degree,Highest 25%,Owner,North West
68069367,Wave 5,male,85,No partner,No degree,2,Not owner,North West
68071407,Wave 5,male,24,No partner,No degree,2,Not owner,North West
68072087,Wave 5,male,59,No partner,No degree,Lowest 25%,Owner,North West
68072767,Wave 5,female,38,Partner,Degree,Lowest 25%,Owner,North West
68072771,Wave 5,male,41,Partner,Degree,Highest 25%,Owner,North West
68076171,Wave 5,male,67,Partner,Degree,3,Owner,North West
68076167,Wave 5,female,64,Partner,Degree,2,Owner,North West
68414968,Wave 5,male,24,No partner,No degree,2,Owner,North West
68086367,Wave 5,female,63,No partner,Degree,3,Owner,North West
68086371,Wave 5,female,24,No partner,No degree,Lowest 25%,Not owner,North West
68087047,Wave 5,male,71,No partner,No degree,2,Not owner,North West
68087727,Wave 5,female,63,No partner,Degree,2,Owner,North West
68090447,Wave 5,female,59,No partner,No degree,2,Not owner,North West
68091135,Wave 5,female,16,No partner,No degree,Lowest 25%,Not owner,North East
68091127,Wave 5,female,39,No partner,No degree,Lowest 25%,Not owner,North East
68537402,Wave 5,male,44,No partner,Degree,Highest 25%,Not owner,North East
68442848,Wave 5,female,17,No partner,No degree,Lowest 25%,Not owner,North East
68442808,Wave 5,female,48,No partner,No degree,3,Not owner,North East
68091131,Wave 5,female,18,No partner,No degree,Lowest 25%,Not owner,North East
68442768,Wave 5,male,18,No partner,No degree,Lowest 25%,Not owner,North East
68093851,Wave 5,male,17,No partner,No degree,Lowest 25%,Not owner,North West
68093847,Wave 5,female,40,No partner,Degree,3,Not owner,North West
68097927,Wave 5,female,63,No partner,No degree,3,Owner,North West
68102687,Wave 5,male,63,Partner,No degree,2,Not owner,North West
68102695,Wave 5,female,18,No partner,No degree,Lowest 25%,Not owner,North West
68102691,Wave 5,female,59,Partner,No degree,2,Not owner,North West
68105407,Wave 5,female,46,Partner,Degree,3,Not owner,North West
68105411,Wave 5,male,34,Partner,Degree,2,Not owner,North West
68107451,Wave 5,female,40,Partner,Degree,3,Owner,North West
68107447,Wave 5,male,42,Partner,Degree,Highest 25%,Owner,North West
68111531,Wave 5,male,32,Partner,No degree,Highest 25%,Owner,North West
68111527,Wave 5,female,32,Partner,Degree,Highest 25%,Owner,North West
68112211,Wave 5,female,27,Partner,No degree,Lowest 25%,Owner,North West
68112207,Wave 5,male,29,Partner,Degree,Highest 25%,Owner,North West
68116287,Wave 5,female,30,Partner,No degree,2,Owner,North West
68116291,Wave 5,male,34,Partner,No degree,3,Owner,North West
68119687,Wave 5,female,73,No partner,No degree,2,Not owner,North West
68120371,Wave 5,male,62,Partner,Degree,3,Owner,North West
68120367,Wave 5,female,62,Partner,No degree,2,Owner,North West
68120375,Wave 5,female,33,No partner,No degree,3,Not owner,North West
68121051,Wave 5,male,40,Partner,No degree,Highest 25%,Missing,North West
68121047,Wave 5,female,41,Partner,No degree,2,Missing,North West
68121055,Wave 5,female,17,No partner,No degree,Lowest 25%,Missing,North West
68121727,Wave 5,female,60,Partner,Degree,3,Owner,North West
68121731,Wave 5,male,60,Partner,No degree,2,Owner,North West
68122407,Wave 5,female,50,No partner,Degree,Highest 25%,Owner,North West
68122415,Wave 5,male,17,No partner,No degree,Lowest 25%,Not owner,North West
68125131,Wave 5,male,22,No partner,Degree,3,Not owner,North West
68125127,Wave 5,female,47,No partner,No degree,3,Owner,North West
68125135,Wave 5,female,17,No partner,No degree,Lowest 25%,Not owner,North West
68129887,Wave 5,male,70,No partner,No degree,3,Owner,North West
68131927,Wave 5,male,58,Partner,No degree,Highest 25%,Owner,North West
68131931,Wave 5,female,54,Partner,No degree,2,Owner,North West
68132615,Wave 5,female,17,No partner,No degree,Lowest 25%,Not owner,North West
68132611,Wave 5,female,45,Partner,No degree,2,Owner,North West
68132607,Wave 5,male,43,Partner,Degree,Highest 25%,Owner,North West
68134647,Wave 5,female,38,No partner,Degree,Lowest 25%,Owner,North West
68138051,Wave 5,female,59,No partner,No degree,3,Owner,North West
68138047,Wave 5,male,65,No partner,No degree,Lowest 25%,Owner,North West
68140767,Wave 5,female,76,No partner,No degree,2,Owner,North West
68140771,Wave 5,male,53,No partner,No degree,Lowest 25%,Not owner,North West
68141451,Wave 5,male,54,Partner,No degree,2,Owner,North West
68141447,Wave 5,female,52,Partner,No degree,Lowest 25%,Owner,North West
68141455,Wave 5,female,21,No partner,No degree,2,Not owner,North West
68142135,Wave 5,male,62,No partner,Degree,Highest 25%,Owner,North West
68142131,Wave 5,male,36,Partner,Degree,Highest 25%,Owner,North West
68142127,Wave 5,female,37,Partner,Degree,Lowest 25%,Not owner,North West
68144847,Wave 5,male,45,Partner,No degree,Highest 25%,Missing,North West
68144851,Wave 5,female,37,Partner,Degree,Highest 25%,Missing,North West
68148247,Wave 5,male,65,Partner,No degree,2,Owner,North West
68150971,Wave 5,female,53,Partner,No degree,3,Owner,North West
68150967,Wave 5,male,51,Partner,No degree,3,Owner,North West
68150975,Wave 5,male,24,No partner,No degree,3,Not owner,North West
68153691,Wave 5,female,33,No partner,Degree,Highest 25%,Owner,North West
68154367,Wave 5,female,61,Partner,No degree,3,Owner,North West
68155055,Wave 5,female,24,No partner,Degree,2,Not owner,North West
68155059,Wave 5,female,23,No partner,Degree,2,Not owner,North West
68155047,Wave 5,female,55,Partner,No degree,2,Owner,North West
68155051,Wave 5,male,61,Partner,No degree,3,Owner,North West
68155063,Wave 5,male,20,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68155727,Wave 5,male,44,Partner,Degree,Lowest 25%,Owner,North West
68155731,Wave 5,female,44,Partner,Degree,Highest 25%,Owner,North West
68157087,Wave 5,male,68,No partner,No degree,3,Owner,North West
68157771,Wave 5,female,19,No partner,No degree,2,Not owner,North West
68157767,Wave 5,female,48,No partner,No degree,Highest 25%,Owner,North West
68159127,Wave 5,male,39,Partner,Degree,Highest 25%,Owner,North West
68159131,Wave 5,female,33,Partner,Degree,3,Owner,North West
68924886,Wave 5,female,30,No partner,Degree,Highest 25%,Not owner,North West
68163887,Wave 5,male,28,No partner,Degree,Highest 25%,Not owner,North West
68165931,Wave 5,male,73,Partner,No degree,2,Owner,North West
68165927,Wave 5,female,70,Partner,No degree,Lowest 25%,Owner,North West
68166607,Wave 5,female,57,No partner,Degree,Highest 25%,Owner,North West
68166611,Wave 5,male,26,No partner,Degree,2,Not owner,North West
68167971,Wave 5,male,35,Partner,Degree,3,Owner,North West
68167967,Wave 5,female,35,Partner,No degree,2,Owner,North West
68173411,Wave 5,male,53,Partner,Degree,Highest 25%,Owner,North West
68173407,Wave 5,female,56,Partner,No degree,2,Owner,North West
68174087,Wave 5,male,87,Partner,No degree,3,Owner,North West
68174091,Wave 5,female,85,Partner,No degree,2,Owner,North West
68174767,Wave 5,female,28,No partner,No degree,Lowest 25%,Not owner,North West
68176127,Wave 5,male,60,No partner,No degree,2,Owner,North West
68176811,Wave 5,male,70,Partner,No degree,3,Owner,North West
68176807,Wave 5,female,57,Partner,No degree,Lowest 25%,Owner,North West
68180887,Wave 5,female,43,Partner,Degree,Lowest 25%,Owner,North West
68180891,Wave 5,male,41,Partner,Degree,Highest 25%,Owner,North West
68182251,Wave 5,male,33,Partner,No degree,Highest 25%,Owner,North West
68182247,Wave 5,female,32,Partner,No degree,3,Owner,North West
68184971,Wave 5,female,38,Partner,Degree,Lowest 25%,Owner,North West
68184967,Wave 5,male,39,Partner,Degree,Highest 25%,Owner,North West
68185647,Wave 5,female,51,No partner,Degree,Highest 25%,Owner,North West
68187691,Wave 5,female,54,Partner,Degree,Highest 25%,Owner,North West
68187687,Wave 5,male,58,Partner,Degree,Highest 25%,Owner,North West
68187695,Wave 5,male,24,No partner,No degree,Lowest 25%,Not owner,North West
68187699,Wave 5,male,20,No partner,No degree,2,Not owner,North West
68188375,Wave 5,female,17,No partner,No degree,Lowest 25%,Not owner,North West
68188371,Wave 5,male,49,Partner,No degree,Highest 25%,Owner,North West
68188367,Wave 5,female,44,Partner,No degree,3,Owner,North West
68190415,Wave 5,male,57,No partner,No degree,Lowest 25%,Owner,West Midlands
68191087,Wave 5,female,51,No partner,Degree,Highest 25%,Owner,North West
68191099,Wave 5,male,21,No partner,No degree,Lowest 25%,Not owner,North West
68191771,Wave 5,female,41,No partner,Degree,2,Owner,North West
68191767,Wave 5,male,48,No partner,Degree,3,Owner,North West
68193127,Wave 5,female,60,No partner,No degree,2,Owner,North West
68193135,Wave 5,male,21,No partner,Degree,Lowest 25%,Not owner,North West
68193131,Wave 5,male,25,No partner,Degree,Lowest 25%,Not owner,North West
68195171,Wave 5,female,70,Partner,No degree,2,Owner,North West
68195167,Wave 5,male,70,Partner,No degree,Highest 25%,Owner,North West
69203724,Wave 5,male,18,No partner,No degree,2,Not owner,North West
68195851,Wave 5,female,39,Partner,No degree,3,Not owner,North West
68195847,Wave 5,male,44,Partner,No degree,3,Not owner,North West
68197211,Wave 5,female,39,No partner,Degree,3,Not owner,North West
68197207,Wave 5,male,43,No partner,No degree,Highest 25%,Not owner,North West
68197899,Wave 5,female,18,No partner,No degree,Lowest 25%,Not owner,North West
68197887,Wave 5,female,52,No partner,No degree,3,Owner,North West
68197895,Wave 5,male,21,No partner,No degree,2,Not owner,North West
68925008,Wave 5,male,19,No partner,No degree,2,Owner,North West
68197891,Wave 5,male,23,No partner,Degree,2,Not owner,North West
68202647,Wave 5,female,38,No partner,Degree,Highest 25%,Owner,North West
69237684,Wave 5,male,37,No partner,Degree,Highest 25%,Owner,North West
68207411,Wave 5,male,74,Partner,No degree,3,Owner,North West
68210807,Wave 5,male,77,No partner,No degree,3,Owner,North West
68211487,Wave 5,male,61,No partner,Degree,Highest 25%,Owner,North West
68213527,Wave 5,female,35,Partner,Degree,Highest 25%,Owner,North West
68213531,Wave 5,male,43,Partner,Degree,Highest 25%,Owner,North West
68214207,Wave 5,male,54,No partner,No degree,3,Not owner,North West
68214887,Wave 5,male,42,Partner,Degree,Highest 25%,Owner,North West
68214891,Wave 5,female,40,Partner,Degree,Highest 25%,Owner,North West
68216247,Wave 5,female,39,No partner,Degree,Highest 25%,Owner,North West
68216251,Wave 5,male,38,No partner,Degree,Highest 25%,Owner,North West
68218291,Wave 5,female,65,Partner,No degree,2,Owner,North West
68218287,Wave 5,male,70,Partner,No degree,2,Owner,North West
68219647,Wave 5,female,43,No partner,Degree,3,Owner,North West
68221007,Wave 5,male,69,No partner,Degree,2,Owner,Yorkshire and the Humber
68222367,Wave 5,male,73,No partner,No degree,3,Not owner,Yorkshire and the Humber
68223727,Wave 5,male,46,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68223731,Wave 5,female,31,Partner,No degree,2,Not owner,Yorkshire and the Humber
68224407,Wave 5,male,33,No partner,Degree,2,Owner,Yorkshire and the Humber
68224411,Wave 5,female,33,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68226451,Wave 5,male,42,No partner,No degree,3,Owner,Yorkshire and the Humber
68226447,Wave 5,female,40,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68227807,Wave 5,male,51,No partner,Degree,2,Owner,Yorkshire and the Humber
68228495,Wave 5,male,16,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68228487,Wave 5,male,42,No partner,Degree,3,Not owner,Yorkshire and the Humber
68228491,Wave 5,female,37,No partner,Degree,3,Not owner,Yorkshire and the Humber
68229847,Wave 5,female,81,No partner,No degree,2,Not owner,Yorkshire and the Humber
68230531,Wave 5,female,16,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68230527,Wave 5,female,46,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68231887,Wave 5,male,35,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68238011,Wave 5,female,55,No partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68238007,Wave 5,male,52,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
69326086,Wave 5,female,54,No partner,No degree,2,Owner,Yorkshire and the Humber
68239367,Wave 5,male,56,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68241407,Wave 5,female,84,No partner,No degree,2,Not owner,Yorkshire and the Humber
68244127,Wave 5,female,66,No partner,No degree,3,Owner,Yorkshire and the Humber
68244131,Wave 5,male,57,No partner,No degree,2,Owner,Yorkshire and the Humber
68244807,Wave 5,female,34,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68244811,Wave 5,male,48,Partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68247527,Wave 5,female,42,No partner,No degree,3,Owner,Yorkshire and the Humber
68247535,Wave 5,male,17,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68247531,Wave 5,male,45,No partner,No degree,2,Owner,Yorkshire and the Humber
68250247,Wave 5,male,54,No partner,No degree,3,Owner,Yorkshire and the Humber
68256367,Wave 5,male,34,Partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68259767,Wave 5,male,68,Partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68259771,Wave 5,female,77,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68262487,Wave 5,male,43,No partner,No degree,3,Not owner,Yorkshire and the Humber
68265207,Wave 5,female,45,Partner,No degree,2,Owner,Yorkshire and the Humber
68266567,Wave 5,female,76,No partner,Degree,3,Owner,Yorkshire and the Humber
68269967,Wave 5,female,64,No partner,No degree,2,Missing,Yorkshire and the Humber
68273367,Wave 5,male,23,No partner,No degree,3,Not owner,Yorkshire and the Humber
68273371,Wave 5,female,46,No partner,No degree,2,Owner,Yorkshire and the Humber
68274731,Wave 5,female,19,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68274727,Wave 5,female,46,No partner,No degree,3,Not owner,Yorkshire and the Humber
68278127,Wave 5,female,66,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68282895,Wave 5,male,18,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68282887,Wave 5,female,41,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68282891,Wave 5,male,43,Partner,No degree,3,Owner,Yorkshire and the Humber
68282899,Wave 5,male,16,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68284247,Wave 5,male,75,Partner,No degree,2,Owner,Yorkshire and the Humber
68284255,Wave 5,female,41,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68284251,Wave 5,female,75,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68284931,Wave 5,female,64,Partner,No degree,2,Owner,Yorkshire and the Humber
68284927,Wave 5,male,65,Partner,No degree,3,Owner,Yorkshire and the Humber
68288331,Wave 5,male,39,Partner,Degree,3,Owner,Yorkshire and the Humber
68288327,Wave 5,female,40,Partner,Degree,3,Owner,Yorkshire and the Humber
68291727,Wave 5,male,70,Partner,No degree,2,Owner,Yorkshire and the Humber
68291731,Wave 5,female,58,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68293091,Wave 5,male,50,Partner,Degree,3,Owner,Yorkshire and the Humber
68293095,Wave 5,male,25,No partner,No degree,3,Not owner,Yorkshire and the Humber
68293099,Wave 5,male,23,No partner,Degree,Lowest 25%,Not owner,Yorkshire and the Humber
68293087,Wave 5,female,45,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68294451,Wave 5,female,40,Partner,Degree,3,Owner,Yorkshire and the Humber
68294455,Wave 5,male,22,No partner,No degree,3,Not owner,Yorkshire and the Humber
68294447,Wave 5,male,56,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68295131,Wave 5,female,41,Partner,Degree,3,Owner,Yorkshire and the Humber
68295127,Wave 5,male,41,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68296487,Wave 5,male,76,No partner,No degree,2,Not owner,Yorkshire and the Humber
68299211,Wave 5,male,64,Partner,No degree,3,Owner,Yorkshire and the Humber
68299207,Wave 5,female,56,Partner,Degree,3,Owner,Yorkshire and the Humber
68299215,Wave 5,male,24,No partner,No degree,3,Not owner,Yorkshire and the Humber
68299219,Wave 5,female,19,No partner,No degree,Lowest 25%,Not owner,North East
68302607,Wave 5,male,69,Partner,No degree,3,Owner,Yorkshire and the Humber
68302611,Wave 5,female,70,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68303287,Wave 5,male,45,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68303975,Wave 5,male,19,No partner,No degree,Lowest 25%,Missing,Yorkshire and the Humber
68303971,Wave 5,female,59,Partner,No degree,Lowest 25%,Missing,Yorkshire and the Humber
68303967,Wave 5,male,60,Partner,Degree,Highest 25%,Missing,Yorkshire and the Humber
68305331,Wave 5,male,36,No partner,No degree,3,Owner,Yorkshire and the Humber
68305327,Wave 5,female,40,No partner,No degree,3,Owner,Yorkshire and the Humber
68306699,Wave 5,female,17,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68306691,Wave 5,female,42,Partner,No degree,3,Not owner,Yorkshire and the Humber
68308727,Wave 5,female,69,No partner,No degree,2,Owner,Yorkshire and the Humber
68309407,Wave 5,female,58,No partner,Degree,3,Owner,Yorkshire and the Humber
68309411,Wave 5,male,28,No partner,Degree,2,Not owner,West Midlands
68310767,Wave 5,female,31,Partner,No degree,3,Owner,Yorkshire and the Humber
68314847,Wave 5,female,74,Partner,No degree,2,Not owner,Yorkshire and the Humber
68314851,Wave 5,male,81,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
69802082,Wave 5,female,29,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68317567,Wave 5,male,34,No partner,No degree,3,Not owner,Yorkshire and the Humber
68320967,Wave 5,female,51,No partner,Degree,3,Owner,Yorkshire and the Humber
68321651,Wave 5,female,56,No partner,No degree,2,Owner,Yorkshire and the Humber
68321647,Wave 5,male,56,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68322335,Wave 5,male,21,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68322331,Wave 5,male,53,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68322327,Wave 5,female,46,Partner,Degree,3,Owner,Yorkshire and the Humber
68323687,Wave 5,male,32,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68324367,Wave 5,female,83,No partner,No degree,3,Not owner,Yorkshire and the Humber
68329127,Wave 5,male,39,Partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68329811,Wave 5,male,45,Partner,No degree,3,Owner,Yorkshire and the Humber
69475808,Wave 5,female,20,No partner,No degree,2,Owner,Yorkshire and the Humber
68329815,Wave 5,male,19,No partner,No degree,3,Not owner,Yorkshire and the Humber
68329807,Wave 5,female,46,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
69768166,Wave 5,female,21,No partner,No degree,3,Not owner,Yorkshire and the Humber
68331167,Wave 5,female,49,No partner,No degree,Highest 25%,Not owner,Yorkshire and the Humber
68333211,Wave 5,female,40,Partner,Degree,3,Owner,Yorkshire and the Humber
68333207,Wave 5,male,36,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68335255,Wave 5,male,27,No partner,Degree,3,Missing,Yorkshire and the Humber
68335927,Wave 5,male,40,No partner,Degree,3,Not owner,Yorkshire and the Humber
68336607,Wave 5,male,47,Partner,Degree,2,Owner,Yorkshire and the Humber
68336623,Wave 5,female,16,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68336619,Wave 5,female,22,No partner,No degree,2,Not owner,Yorkshire and the Humber
68336615,Wave 5,male,25,Partner,Degree,Highest 25%,Missing,Yorkshire and the Humber
68337287,Wave 5,female,63,No partner,Degree,3,Owner,Yorkshire and the Humber
68337971,Wave 5,female,60,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68337975,Wave 5,male,66,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68338651,Wave 5,female,36,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68340007,Wave 5,male,31,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68340011,Wave 5,female,30,No partner,Degree,3,Owner,Yorkshire and the Humber
68340075,Wave 5,female,45,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68340687,Wave 5,male,84,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68340691,Wave 5,female,68,Partner,Degree,2,Owner,Yorkshire and the Humber
68341371,Wave 5,female,32,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
69564088,Wave 5,male,30,No partner,Degree,3,Owner,Yorkshire and the Humber
68344767,Wave 5,female,44,No partner,Degree,3,Owner,East Midlands
70128524,Wave 5,male,19,No partner,No degree,2,Not owner,East Midlands
68346127,Wave 5,female,86,No partner,No degree,2,Owner,East Midlands
68347495,Wave 5,male,29,No partner,No degree,2,Not owner,East Midlands
68347487,Wave 5,male,55,Partner,No degree,2,Owner,East Midlands
68347491,Wave 5,female,49,Partner,No degree,Lowest 25%,Owner,East Midlands
68347503,Wave 5,female,20,No partner,No degree,Lowest 25%,Not owner,East Midlands
68348847,Wave 5,female,49,No partner,No degree,Lowest 25%,Owner,East Midlands
68348851,Wave 5,male,27,No partner,Degree,Lowest 25%,Not owner,East Midlands
68351567,Wave 5,female,39,Partner,Degree,Lowest 25%,Owner,East Midlands
68351571,Wave 5,male,38,Partner,No degree,Highest 25%,Owner,East Midlands
68352931,Wave 5,male,32,Partner,No degree,2,Owner,East Midlands
68352927,Wave 5,female,30,Partner,Degree,Highest 25%,Owner,East Midlands
68354295,Wave 5,male,19,No partner,No degree,Lowest 25%,Not owner,East Midlands
68354287,Wave 5,male,48,Partner,No degree,2,Owner,East Midlands
68354299,Wave 5,male,16,No partner,No degree,Lowest 25%,Not owner,East Midlands
68354291,Wave 5,female,47,Partner,No degree,2,Owner,East Midlands
68356327,Wave 5,female,38,Partner,No degree,Lowest 25%,Not owner,East Midlands
68356331,Wave 5,male,29,Partner,No degree,3,Not owner,East Midlands
68358367,Wave 5,male,32,No partner,Degree,Highest 25%,Owner,East Midlands
68358371,Wave 5,female,31,No partner,Degree,3,Owner,East Midlands
68361767,Wave 5,female,27,Partner,No degree,2,Not owner,East Midlands
68361771,Wave 5,female,37,Partner,Degree,3,Not owner,East Midlands
68364487,Wave 5,female,35,Partner,Degree,3,Owner,East Midlands
68364491,Wave 5,male,38,Partner,Degree,Highest 25%,Owner,East Midlands
68366527,Wave 5,female,59,Partner,No degree,Lowest 25%,Owner,East Midlands
68366531,Wave 5,male,62,Partner,No degree,3,Owner,East Midlands
68367887,Wave 5,male,42,Partner,No degree,Lowest 25%,Not owner,East Midlands
68367891,Wave 5,female,40,Partner,No degree,2,Not owner,East Midlands
