pidp,wave,sex,age,partner,degree,inc4,owner,gor_dv
68049647,Wave 3,male,53,Partner,Degree,Highest 25%,Owner,North East
68049655,Wave 3,male,23,No partner,No degree,2,Not owner,North East
68049651,Wave 3,female,51,Partner,No degree,3,Owner,North East
68051011,Wave 3,female,43,Partner,Degree,Highest 25%,Owner,North East
68051007,Wave 3,male,50,Partner,Degree,Highest 25%,Owner,North East
68051691,Wave 3,female,33,Partner,Degree,Highest 25%,Owner,North East
68051687,Wave 3,male,34,Partner,Degree,Highest 25%,Owner,North East
68056455,Wave 3,female,16,No partner,No degree,Lowest 25%,Not owner,North East
68056447,Wave 3,male,48,Partner,No degree,3,Not owner,North East
68056451,Wave 3,female,46,Partner,No degree,3,Not owner,North East
68058487,Wave 3,male,71,Partner,Degree,2,Owner,North East
68058491,Wave 3,female,62,Partner,No degree,2,Owner,North East
68059171,Wave 3,female,21,No partner,No degree,2,Owner,North East
68059167,Wave 3,female,75,No partner,No degree,Lowest 25%,Owner,North East
68060531,Wave 3,female,38,Partner,Degree,Highest 25%,Owner,North East
68060527,Wave 3,male,37,Partner,Degree,Highest 25%,Owner,North East
68061887,Wave 3,male,87,No partner,No degree,Lowest 25%,Not owner,North West
68063251,Wave 3,male,46,Partner,No degree,3,Owner,North West
68063247,Wave 3,female,44,Partner,No degree,Lowest 25%,Owner,North West
68063931,Wave 3,male,43,Partner,Degree,Highest 25%,Owner,North West
68063927,Wave 3,female,41,Partner,No degree,3,Owner,North West
68065287,Wave 3,female,43,Partner,No degree,3,Owner,North West
68065971,Wave 3,female,51,Partner,No degree,2,Not owner,North West
68065967,Wave 3,male,62,Partner,No degree,3,Not owner,North West
68066651,Wave 3,male,25,No partner,No degree,Highest 25%,Not owner,North West
68066647,Wave 3,female,24,No partner,No degree,2,Not owner,North West
68068011,Wave 3,female,44,Partner,No degree,Highest 25%,Owner,North West
68068015,Wave 3,female,19,No partner,No degree,Lowest 25%,Not owner,North West
68068007,Wave 3,male,44,Partner,No degree,Highest 25%,Owner,North West
68069367,Wave 3,male,83,No partner,No degree,3,Not owner,North West
68071407,Wave 3,male,22,No partner,No degree,Lowest 25%,Not owner,North West
68072087,Wave 3,male,57,No partner,No degree,Lowest 25%,Owner,North West
68072091,Wave 3,female,27,No partner,No degree,2,Not owner,North West
68072767,Wave 3,female,36,Partner,Degree,Lowest 25%,Owner,North West
68072771,Wave 3,male,39,Partner,Degree,Highest 25%,Owner,North West
68075487,Wave 3,male,56,No partner,No degree,Highest 25%,Owner,North West
68076167,Wave 3,female,62,Partner,Degree,2,Owner,North West
68076171,Wave 3,male,65,Partner,Degree,2,Owner,North West
68086371,Wave 3,female,22,No partner,No degree,Highest 25%,Not owner,North West
68086367,Wave 3,female,61,No partner,Degree,3,Owner,North West
68087047,Wave 3,male,69,No partner,No degree,2,Not owner,North West
68087727,Wave 3,female,61,No partner,Degree,2,Owner,North West
68090447,Wave 3,female,57,No partner,No degree,2,Not owner,North West
68093847,Wave 3,female,38,No partner,Degree,3,Not owner,North West
68097927,Wave 3,female,61,No partner,No degree,3,Owner,North West
68102007,Wave 3,female,53,No partner,No degree,2,Not owner,North West
68102015,Wave 3,male,19,No partner,No degree,2,Not owner,North West
68102011,Wave 3,female,20,No partner,No degree,Lowest 25%,Not owner,North West
68102695,Wave 3,female,16,No partner,No degree,2,Not owner,North West
68102687,Wave 3,male,61,Partner,No degree,2,Not owner,North West
68102691,Wave 3,female,57,Partner,No degree,2,Not owner,North West
68105411,Wave 3,male,32,Partner,Degree,3,Not owner,North West
68105407,Wave 3,female,44,Partner,Degree,2,Not owner,North West
68107451,Wave 3,female,38,Partner,Degree,3,Owner,North West
68107447,Wave 3,male,40,Partner,Degree,2,Owner,North West
68111531,Wave 3,male,30,No partner,No degree,Highest 25%,Owner,North West
68111527,Wave 3,female,30,No partner,Degree,Highest 25%,Owner,North West
68112207,Wave 3,male,27,Partner,Degree,Highest 25%,Owner,North West
68112211,Wave 3,female,25,Partner,No degree,3,Owner,North West
68114251,Wave 3,male,41,No partner,No degree,Highest 25%,Owner,North West
68114247,Wave 3,female,41,No partner,No degree,2,Owner,North West
68116287,Wave 3,female,28,Partner,No degree,2,Owner,North West
68119687,Wave 3,female,71,No partner,No degree,3,Not owner,North West
68120371,Wave 3,male,60,Partner,Degree,Highest 25%,Owner,North West
68120375,Wave 3,female,31,No partner,No degree,3,Not owner,North West
68120367,Wave 3,female,60,Partner,No degree,3,Owner,North West
68121051,Wave 3,male,38,Partner,No degree,Highest 25%,Owner,North West
68121047,Wave 3,female,39,Partner,No degree,Highest 25%,Owner,North West
68122407,Wave 3,female,48,No partner,Degree,Highest 25%,Owner,North West
68125131,Wave 3,male,20,No partner,No degree,Lowest 25%,Not owner,North West
68125127,Wave 3,female,45,No partner,No degree,3,Owner,North West
68129887,Wave 3,male,68,Partner,No degree,3,Owner,North West
68129891,Wave 3,female,65,Partner,No degree,Lowest 25%,Owner,North West
68132611,Wave 3,female,43,Partner,No degree,3,Owner,North West
68132607,Wave 3,male,41,Partner,Degree,Highest 25%,Owner,North West
68134647,Wave 3,female,36,No partner,Degree,2,Owner,North West
68135327,Wave 3,female,62,No partner,No degree,2,Owner,North West
68136007,Wave 3,female,42,No partner,Degree,Highest 25%,Not owner,North West
68138047,Wave 3,male,63,No partner,No degree,Lowest 25%,Owner,North West
68138051,Wave 3,female,57,No partner,No degree,3,Owner,North West
68140771,Wave 3,male,51,No partner,No degree,Lowest 25%,Not owner,North West
68140767,Wave 3,female,74,No partner,No degree,2,Owner,North West
68141455,Wave 3,female,19,No partner,No degree,Lowest 25%,Not owner,North West
68141451,Wave 3,male,52,Partner,No degree,Highest 25%,Owner,North West
68141447,Wave 3,female,50,Partner,No degree,Lowest 25%,Owner,North West
68143487,Wave 3,female,61,No partner,Degree,Highest 25%,Owner,North West
68144167,Wave 3,male,45,No partner,No degree,Highest 25%,Owner,North West
68144851,Wave 3,female,35,Partner,Degree,Highest 25%,Owner,North West
68144847,Wave 3,male,43,Partner,No degree,Highest 25%,Owner,North West
68148251,Wave 3,female,64,Partner,No degree,2,Owner,North West
68148247,Wave 3,male,63,Partner,No degree,2,Owner,North West
68150975,Wave 3,male,22,No partner,No degree,2,Not owner,North West
68150967,Wave 3,male,49,Partner,No degree,3,Owner,North West
68150971,Wave 3,female,52,Partner,No degree,3,Owner,North West
68153691,Wave 3,female,31,No partner,Degree,Highest 25%,Not owner,North West
68154367,Wave 3,female,59,Partner,No degree,Lowest 25%,Owner,North West
68155055,Wave 3,female,22,No partner,Degree,2,Not owner,North West
68155059,Wave 3,female,21,No partner,Degree,Lowest 25%,Not owner,North West
68155051,Wave 3,male,59,Partner,No degree,Highest 25%,Owner,North West
68155063,Wave 3,male,18,No partner,No degree,Lowest 25%,Not owner,North West
68155047,Wave 3,female,53,Partner,No degree,2,Owner,North West
68155727,Wave 3,male,42,Partner,Degree,Highest 25%,Owner,North West
68155731,Wave 3,female,42,Partner,Degree,Highest 25%,Owner,North West
68157087,Wave 3,male,66,No partner,No degree,3,Owner,North West
68157767,Wave 3,female,46,No partner,No degree,Highest 25%,Owner,North West
68157771,Wave 3,female,17,No partner,No degree,Lowest 25%,Not owner,North West
68159127,Wave 3,male,37,Partner,Degree,Highest 25%,Owner,North West
68159131,Wave 3,female,31,Partner,Degree,Highest 25%,Owner,North West
68945322,Wave 3,male,25,No partner,Degree,Highest 25%,Not owner,North West
68163891,Wave 3,male,26,No partner,Degree,2,Not owner,North West
68163887,Wave 3,male,26,No partner,Degree,Highest 25%,Not owner,North West
68165927,Wave 3,female,68,Partner,No degree,2,Owner,North West
68165931,Wave 3,male,71,Partner,No degree,2,Owner,North West
68166611,Wave 3,male,24,No partner,Degree,Lowest 25%,Not owner,North West
68166607,Wave 3,female,55,No partner,Degree,Highest 25%,Owner,North West
68167967,Wave 3,female,33,Partner,No degree,2,Owner,North West
68167971,Wave 3,male,33,Partner,Degree,3,Owner,North West
68173411,Wave 3,male,51,Partner,Degree,Highest 25%,Owner,North West
68173407,Wave 3,female,54,Partner,No degree,Lowest 25%,Owner,North West
68174091,Wave 3,female,83,Partner,No degree,2,Owner,North West
68174087,Wave 3,male,85,Partner,No degree,3,Owner,North West
69054084,Wave 3,male,23,Partner,No degree,3,Not owner,North West
68174767,Wave 3,female,26,Partner,No degree,Lowest 25%,Not owner,North West
68175447,Wave 3,female,47,No partner,No degree,3,Owner,North West
68176127,Wave 3,male,58,No partner,No degree,2,Not owner,North West
68176811,Wave 3,male,67,Partner,No degree,3,Owner,North West
68176807,Wave 3,female,54,Partner,No degree,Lowest 25%,Owner,North West
68176815,Wave 3,male,26,No partner,No degree,2,Not owner,North West
68177487,Wave 3,male,56,No partner,No degree,Lowest 25%,Owner,North West
68180891,Wave 3,male,39,Partner,Degree,Highest 25%,Owner,North West
68180887,Wave 3,female,41,Partner,Degree,Lowest 25%,Owner,North West
68182247,Wave 3,female,30,Partner,No degree,3,Owner,North West
68182251,Wave 3,male,31,Partner,No degree,Highest 25%,Owner,North West
68182931,Wave 3,female,18,No partner,Degree,Lowest 25%,Not owner,North West
68182927,Wave 3,female,46,No partner,No degree,Highest 25%,Owner,North West
68184971,Wave 3,female,36,Partner,Degree,Lowest 25%,Owner,North West
68184967,Wave 3,male,37,Partner,Degree,Highest 25%,Owner,North West
68185647,Wave 3,female,49,No partner,Degree,Highest 25%,Owner,North West
68187687,Wave 3,male,56,Partner,Degree,Highest 25%,Owner,North West
68187691,Wave 3,female,52,Partner,Degree,Highest 25%,Owner,North West
68188367,Wave 3,female,42,Partner,No degree,3,Owner,North West
68189727,Wave 3,female,97,No partner,No degree,2,Owner,North West
68190415,Wave 3,male,55,No partner,No degree,2,Not owner,North West
68190407,Wave 3,male,88,Partner,No degree,3,Owner,North West
68191087,Wave 3,female,49,No partner,Degree,3,Owner,North West
68191767,Wave 3,male,46,No partner,Degree,3,Owner,North West
68191771,Wave 3,female,39,No partner,Degree,Highest 25%,Owner,North West
68193127,Wave 3,female,58,No partner,No degree,2,Owner,North West
68193135,Wave 3,male,19,No partner,No degree,Lowest 25%,Not owner,North West
68195167,Wave 3,male,68,Partner,No degree,3,Owner,North West
68195171,Wave 3,female,68,Partner,No degree,Lowest 25%,Owner,North West
68195847,Wave 3,male,42,Partner,No degree,3,Not owner,West Midlands
68195851,Wave 3,female,37,Partner,No degree,2,Not owner,West Midlands
68197211,Wave 3,female,37,No partner,Degree,3,Not owner,North West
68197207,Wave 3,male,41,No partner,No degree,Highest 25%,Not owner,North West
68197887,Wave 3,female,50,No partner,No degree,3,Owner,North West
68197899,Wave 3,female,16,No partner,No degree,Lowest 25%,Not owner,North West
68202647,Wave 3,female,36,No partner,Degree,Highest 25%,Owner,North West
68207411,Wave 3,male,72,Partner,No degree,2,Owner,North West
68209451,Wave 3,male,45,Partner,Degree,Highest 25%,Owner,North West
68209447,Wave 3,female,41,Partner,Degree,Highest 25%,Owner,North West
68210807,Wave 3,male,75,No partner,No degree,3,Owner,North West
68211487,Wave 3,male,59,No partner,Degree,Highest 25%,Owner,North West
68213531,Wave 3,male,41,Partner,Degree,Highest 25%,Owner,North West
68213527,Wave 3,female,33,Partner,Degree,Highest 25%,Owner,North West
68214207,Wave 3,male,52,No partner,No degree,2,Not owner,North West
68214891,Wave 3,female,38,Partner,Degree,Highest 25%,Owner,North West
68214887,Wave 3,male,40,Partner,Degree,Highest 25%,Owner,North West
68216247,Wave 3,female,37,No partner,Degree,Highest 25%,Owner,North West
68216251,Wave 3,male,36,No partner,Degree,Highest 25%,Owner,North West
68218287,Wave 3,male,68,Partner,No degree,3,Owner,North West
68218291,Wave 3,female,63,Partner,No degree,2,Owner,North West
68219651,Wave 3,male,42,No partner,Degree,Highest 25%,Owner,North West
68219647,Wave 3,female,41,No partner,Degree,3,Owner,North West
68221007,Wave 3,male,67,No partner,Degree,2,Owner,Yorkshire and the Humber
68222367,Wave 3,male,71,No partner,No degree,2,Not owner,Yorkshire and the Humber
68223727,Wave 3,male,44,Partner,No degree,2,Not owner,Yorkshire and the Humber
68223731,Wave 3,female,29,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68224407,Wave 3,male,31,No partner,Degree,2,Owner,Yorkshire and the Humber
68224411,Wave 3,female,31,No partner,No degree,2,Owner,Yorkshire and the Humber
68226447,Wave 3,female,38,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68226451,Wave 3,male,40,No partner,No degree,3,Owner,Yorkshire and the Humber
68227807,Wave 3,male,49,No partner,Degree,3,Owner,Yorkshire and the Humber
68228491,Wave 3,female,35,No partner,Degree,3,Not owner,Yorkshire and the Humber
68228487,Wave 3,male,40,No partner,Degree,Highest 25%,Not owner,Yorkshire and the Humber
68230527,Wave 3,female,44,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68231887,Wave 3,male,33,No partner,No degree,2,Not owner,Yorkshire and the Humber
69421284,Wave 3,female,30,No partner,No degree,2,Not owner,Yorkshire and the Humber
68238007,Wave 3,male,50,No partner,No degree,2,Owner,Yorkshire and the Humber
68238011,Wave 3,female,53,No partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68239367,Wave 3,male,55,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68241407,Wave 3,female,82,No partner,No degree,2,Not owner,Yorkshire and the Humber
68244127,Wave 3,female,64,No partner,No degree,3,Owner,Yorkshire and the Humber
68244811,Wave 3,male,46,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68244807,Wave 3,female,33,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68246167,Wave 3,female,66,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68246171,Wave 3,male,68,Partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68247527,Wave 3,female,40,No partner,No degree,3,Owner,Yorkshire and the Humber
68247531,Wave 3,male,43,No partner,No degree,3,Owner,Yorkshire and the Humber
68250247,Wave 3,male,52,No partner,No degree,3,Owner,Yorkshire and the Humber
68256367,Wave 3,male,32,Partner,No degree,3,Owner,Yorkshire and the Humber
68256371,Wave 3,female,29,Partner,No degree,2,Owner,Yorkshire and the Humber
68257727,Wave 3,male,74,No partner,Degree,3,Owner,Yorkshire and the Humber
68259767,Wave 3,male,66,Partner,Degree,3,Owner,Yorkshire and the Humber
68259771,Wave 3,female,75,Partner,No degree,2,Owner,Yorkshire and the Humber
68262487,Wave 3,male,41,No partner,No degree,2,Not owner,Yorkshire and the Humber
68264527,Wave 3,male,70,Partner,No degree,2,Not owner,Yorkshire and the Humber
68264531,Wave 3,female,69,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68265207,Wave 3,female,43,Partner,No degree,2,Owner,Yorkshire and the Humber
68266567,Wave 3,female,74,No partner,Degree,3,Owner,Yorkshire and the Humber
68269967,Wave 3,female,62,No partner,No degree,2,Not owner,Yorkshire and the Humber
68270647,Wave 3,female,36,Partner,Degree,2,Owner,Yorkshire and the Humber
68273371,Wave 3,female,44,No partner,No degree,2,Owner,Yorkshire and the Humber
68273367,Wave 3,male,21,No partner,No degree,3,Not owner,Yorkshire and the Humber
68274727,Wave 3,female,44,No partner,No degree,2,Not owner,Yorkshire and the Humber
68274731,Wave 3,female,17,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68278127,Wave 3,female,64,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68282887,Wave 3,female,39,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68282895,Wave 3,male,16,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68282891,Wave 3,male,41,Partner,No degree,3,Owner,Yorkshire and the Humber
68284251,Wave 3,female,73,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68284255,Wave 3,female,39,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68284247,Wave 3,male,73,Partner,No degree,2,Owner,Yorkshire and the Humber
68284931,Wave 3,female,62,Partner,No degree,2,Owner,Yorkshire and the Humber
68284927,Wave 3,male,63,Partner,No degree,2,Owner,Yorkshire and the Humber
68288327,Wave 3,female,38,Partner,Degree,3,Owner,Yorkshire and the Humber
68288331,Wave 3,male,37,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68291727,Wave 3,male,68,Partner,No degree,2,Owner,Yorkshire and the Humber
68291731,Wave 3,female,56,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68293091,Wave 3,male,48,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68293095,Wave 3,male,23,No partner,No degree,2,Not owner,Yorkshire and the Humber
68293087,Wave 3,female,43,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68293099,Wave 3,male,20,No partner,Degree,Lowest 25%,Not owner,Yorkshire and the Humber
68294455,Wave 3,male,20,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68294447,Wave 3,male,54,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68294451,Wave 3,female,38,Partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68295127,Wave 3,male,39,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68295131,Wave 3,female,39,Partner,Degree,3,Owner,Yorkshire and the Humber
68296487,Wave 3,male,74,No partner,No degree,3,Not owner,Yorkshire and the Humber
68299215,Wave 3,male,22,No partner,No degree,2,Not owner,Yorkshire and the Humber
68299211,Wave 3,male,62,Partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68299219,Wave 3,female,17,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68299207,Wave 3,female,54,Partner,Degree,3,Owner,Yorkshire and the Humber
68299887,Wave 3,female,91,No partner,No degree,2,Not owner,Yorkshire and the Humber
68302611,Wave 3,female,68,Partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68302607,Wave 3,male,67,Partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68303287,Wave 3,male,43,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68303967,Wave 3,male,58,Partner,Degree,Highest 25%,Not owner,Yorkshire and the Humber
68303975,Wave 3,male,17,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68305331,Wave 3,male,34,No partner,No degree,3,Owner,Yorkshire and the Humber
68305327,Wave 3,female,39,No partner,No degree,3,Owner,Yorkshire and the Humber
68306687,Wave 3,male,41,Partner,No degree,Highest 25%,Not owner,Yorkshire and the Humber
68306691,Wave 3,female,40,Partner,No degree,3,Not owner,Yorkshire and the Humber
68308727,Wave 3,female,66,No partner,No degree,3,Owner,Yorkshire and the Humber
68309407,Wave 3,female,56,No partner,Degree,2,Owner,Yorkshire and the Humber
69822484,Wave 3,male,25,No partner,Degree,Lowest 25%,Not owner,Yorkshire and the Humber
68310767,Wave 3,female,29,Partner,No degree,3,Owner,Yorkshire and the Humber
69761322,Wave 3,male,39,Partner,Degree,Lowest 25%,Owner,Yorkshire and the Humber
68312807,Wave 3,male,73,No partner,No degree,2,Not owner,Yorkshire and the Humber
68314847,Wave 3,female,72,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68314851,Wave 3,male,79,Partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68317567,Wave 3,male,32,No partner,No degree,2,Not owner,Yorkshire and the Humber
69802082,Wave 3,female,27,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68318931,Wave 3,male,46,Partner,No degree,3,Owner,Yorkshire and the Humber
68318939,Wave 3,female,17,No partner,Missing,Lowest 25%,Not owner,Yorkshire and the Humber
68320967,Wave 3,female,49,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68320971,Wave 3,female,17,No partner,No degree,2,Not owner,Yorkshire and the Humber
68321651,Wave 3,female,54,No partner,No degree,3,Owner,Yorkshire and the Humber
68321647,Wave 3,male,54,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68322335,Wave 3,male,19,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68322327,Wave 3,female,44,Partner,Degree,3,Owner,Yorkshire and the Humber
68322331,Wave 3,male,51,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68323687,Wave 3,male,30,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68324367,Wave 3,female,81,No partner,No degree,2,Not owner,Yorkshire and the Humber
68326411,Wave 3,female,28,Partner,No degree,2,Not owner,Yorkshire and the Humber
68329127,Wave 3,male,37,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68329807,Wave 3,female,44,Partner,No degree,3,Owner,Yorkshire and the Humber
68329811,Wave 3,male,43,Partner,No degree,3,Owner,Yorkshire and the Humber
68329815,Wave 3,male,17,No partner,No degree,3,Not owner,Yorkshire and the Humber
68331167,Wave 3,female,47,No partner,No degree,Highest 25%,Not owner,Yorkshire and the Humber
68333207,Wave 3,male,34,Partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68333211,Wave 3,female,38,Partner,Degree,3,Owner,Yorkshire and the Humber
68334567,Wave 3,male,47,No partner,No degree,2,Not owner,Yorkshire and the Humber
68335927,Wave 3,male,38,No partner,No degree,3,Not owner,Yorkshire and the Humber
68336627,Wave 3,female,86,No partner,No degree,Lowest 25%,Owner,Yorkshire and the Humber
68336619,Wave 3,female,20,No partner,No degree,Lowest 25%,Not owner,Yorkshire and the Humber
68336607,Wave 3,male,45,Partner,Degree,3,Not owner,Yorkshire and the Humber
68336611,Wave 3,female,46,Partner,No degree,2,Owner,Yorkshire and the Humber
68336615,Wave 3,male,23,No partner,Degree,2,Not owner,Yorkshire and the Humber
68337287,Wave 3,female,61,No partner,Degree,3,Owner,Yorkshire and the Humber
68337971,Wave 3,female,58,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68337975,Wave 3,male,64,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68340007,Wave 3,male,29,No partner,Degree,Highest 25%,Not owner,Yorkshire and the Humber
68340011,Wave 3,female,28,No partner,Degree,3,Not owner,Yorkshire and the Humber
68340075,Wave 3,female,43,No partner,No degree,Highest 25%,Owner,Yorkshire and the Humber
68341371,Wave 3,female,30,No partner,Degree,Highest 25%,Owner,Yorkshire and the Humber
68344767,Wave 3,female,42,No partner,No degree,Highest 25%,Owner,East Midlands
68346127,Wave 3,female,84,No partner,No degree,2,Owner,East Midlands
68347491,Wave 3,female,47,Partner,No degree,Lowest 25%,Owner,East Midlands
68347487,Wave 3,male,53,Partner,No degree,2,Owner,East Midlands
68347495,Wave 3,male,27,No partner,No degree,2,Not owner,East Midlands
68347503,Wave 3,female,18,No partner,No degree,Lowest 25%,Not owner,East Midlands
68348847,Wave 3,female,47,No partner,No degree,Lowest 25%,Owner,East Midlands
68348855,Wave 3,female,21,No partner,No degree,2,Not owner,East Midlands
68351567,Wave 3,female,37,Partner,Degree,2,Owner,East Midlands
68351571,Wave 3,male,36,Partner,No degree,3,Owner,East Midlands
68352931,Wave 3,male,30,Partner,No degree,3,Owner,East Midlands
68352927,Wave 3,female,28,Partner,Degree,Highest 25%,Owner,East Midlands
68354295,Wave 3,male,17,No partner,No degree,Lowest 25%,Not owner,East Midlands
68354291,Wave 3,female,45,Partner,No degree,2,Owner,East Midlands
68354287,Wave 3,male,46,Partner,No degree,2,Owner,East Midlands
68356327,Wave 3,female,36,Partner,No degree,Lowest 25%,Not owner,East Midlands
68356331,Wave 3,male,27,Partner,No degree,3,Not owner,East Midlands
68358367,Wave 3,male,30,No partner,Degree,Highest 25%,Owner,East Midlands
68358371,Wave 3,female,29,No partner,Degree,3,Owner,East Midlands
68360407,Wave 3,male,27,No partner,No degree,3,Not owner,East Midlands
68361767,Wave 3,female,25,No partner,No degree,3,Not owner,East Midlands
68361771,Wave 3,female,35,No partner,Degree,3,Not owner,East Midlands
68363807,Wave 3,female,89,No partner,No degree,2,Not owner,East Midlands
68364491,Wave 3,male,36,Partner,Degree,Highest 25%,Owner,East Midlands
68364487,Wave 3,female,33,Partner,Degree,2,Owner,East Midlands
68366531,Wave 3,male,60,Partner,No degree,3,Owner,East Midlands
68366527,Wave 3,female,57,Partner,No degree,Lowest 25%,Owner,East Midlands
68366535,Wave 3,male,32,No partner,No degree,3,Not owner,East Midlands
68367891,Wave 3,female,38,Partner,No degree,3,Not owner,East Midlands
68369247,Wave 3,male,87,No partner,No degree,3,Owner,East Midlands
68371975,Wave 3,male,45,Partner,No degree,2,Owner,East Midlands
68372647,Wave 3,male,77,Partner,Degree,3,Owner,East Midlands
68376047,Wave 3,male,52,Partner,No degree,3,Owner,East Midlands
68376051,Wave 3,female,48,Partner,No degree,Lowest 25%,Owner,East Midlands
68378095,Wave 3,male,41,Partner,No degree,Highest 25%,Not owner,East Midlands
68378771,Wave 3,male,33,Partner,Degree,3,Not owner,East Midlands
68379447,Wave 3,female,34,No partner,Degree,Highest 25%,Owner,East Midlands
68384207,Wave 3,male,82,Partner,Degree,Highest 25%,Owner,East Midlands
68384211,Wave 3,female,78,Partner,No degree,2,Owner,East Midlands
